"scenario","method","ari_mean","silhouette_mean","ari_sd","silhouette_sd","ari_median","sil_median","ari_iqr","sil_iqr"
"S1","A",0.78196580783399,0.162788125701364,0.0731327146582511,0.00563725008090873,0.792359519206285,0.16355874144792,0.113039134726832,0.00786249060068697
"S1","B_silopt",0.87329276731996,0.350683208333523,0.0530264145911478,0.00993317545393042,0.883564842007768,0.349232298984404,0.0554325445470933,0.0138954238291623
"S1","C_DK_ancien",0.937881616471529,0.175850659233873,0.0360465027848014,0.0055715099847086,0.941175398967497,0.175887239258,0.0393413914849852,0.00807791035544292
"S1","D0",0.829536247887986,0.290408852391897,0.0526782671672452,0.0110022587362912,0.838698296587362,0.290404469872514,0.0789234212648654,0.0148676348450202
"S1","D1",0.87329276731996,0.350683208333523,0.0530264145911478,0.00993317545393041,0.883564842007768,0.349232298984404,0.0554325445470933,0.0138954238291621
"S1","Df_silopt",0.87329276731996,0.350683208333523,0.0530264145911478,0.00993317545393042,0.883564842007768,0.349232298984404,0.0554325445470933,0.0138954238291622
"S1","DK_reconstruit",0.896615775232513,0.159500042655067,0.081919631082108,0.00767597693324369,0.925926667711788,0.159610668680773,0.0955365932284793,0.0099074945256929
"S1","Ds",0.567368697393458,0.143955701411782,0.088993220437753,0.0083034670727565,0.580770405081544,0.143364577395179,0.129900806378984,0.0130534156845134
"S2","A",0.524363529559747,0.124633909758559,0.0885391736255075,0.00670284663729384,0.512860265707441,0.124307547785596,0.12108068248356,0.00895091383837252
"S2","B_silopt",0.87329276731996,0.350683208333523,0.0530264145911478,0.00993317545393042,0.883564842007768,0.349232298984404,0.0554325445470933,0.0138954238291623
"S2","C_DK_ancien",0.886672403661609,0.147193675244988,0.0532754079362303,0.00590679464174495,0.894021565530853,0.147395904766312,0.062085248910861,0.00752590040767456
"S2","D0",0.829536247887986,0.290408852391897,0.0526782671672452,0.0110022587362912,0.838698296587362,0.290404469872514,0.0789234212648654,0.0148676348450202
"S2","D1",0.87329276731996,0.350683208333523,0.0530264145911478,0.00993317545393041,0.883564842007768,0.349232298984404,0.0554325445470933,0.0138954238291621
"S2","Df_silopt",0.87329276731996,0.350683208333523,0.0530264145911478,0.00993317545393042,0.883564842007768,0.349232298984404,0.0554325445470933,0.0138954238291622
"S2","DK_reconstruit",0.801763558710441,0.129544427630665,0.124848698180043,0.00834296622905496,0.815956301035263,0.130681407426549,0.185015329306143,0.00992888843158532
"S2","Ds",0.332736225708132,0.105144726434234,0.0686808326507147,0.011437950655856,0.324096535296465,0.105534104216306,0.0772691312250076,0.0141298150564349
"S3","A",0.623403995890649,0.138684610936287,0.0983768787808066,0.00768563034190257,0.644799303234037,0.138807988483121,0.129441616141455,0.0090549752805143
"S3","B_silopt",0.238365761190485,0.224297343724813,0.042429235413526,0.0117140583119901,0.243865871788108,0.224046308380799,0.0531222256874657,0.0158592394234743
"S3","C_DK_ancien",0.461170146343454,0.0943483038387409,0.132620171336746,0.00875546107321391,0.411715598771901,0.0941726355374662,0.171417640779184,0.0117041701565553
"S3","D0",0.225604798717499,0.221903465968516,0.0476859358338323,0.0152905157874473,0.237384219809266,0.221490029099451,0.0625520443260791,0.0163597060319557
"S3","D1",0.377911728184081,0.16400651411067,0.0463296683663356,0.0130209713043838,0.375652287596286,0.161491112698677,0.0489614575456261,0.0174932390879431
"S3","Df_silopt",0.236845723527511,0.224252964966483,0.0397965064570504,0.0118170792772445,0.243865871788108,0.224046308380799,0.0531222256874657,0.0158592394234742
"S3","DK_reconstruit",0.432710739990745,0.0968282605554988,0.114294934485012,0.0105573258539392,0.390173588823176,0.0975672574749947,0.123761886702055,0.0164907601079339
"S3","Ds",0.510848188046989,0.126884658264181,0.0863578426005014,0.00832034101383151,0.497984914529795,0.126688265318094,0.113158969778437,0.0105473685256766
"S4","A",0.315100094888237,0.111034302401734,0.0455155953383664,0.00815119007780146,0.312577677898702,0.109794543232274,0.0636840052319759,0.0108647055801462
"S4","B_silopt",0.236845723527511,0.224252964966483,0.0397965064570504,0.0118170792772445,0.243865871788108,0.224046308380799,0.0531222256874657,0.0158592394234743
"S4","C_DK_ancien",0.317439119505709,0.0850400957279161,0.0616602420961993,0.00807101721773614,0.307261167715589,0.0849660663065469,0.0622318238412197,0.00965748256764998
"S4","D0",0.225604798717499,0.221903465968516,0.0476859358338323,0.0152905157874473,0.237384219809266,0.221490029099451,0.0625520443260791,0.0163597060319557
"S4","D1",0.377911728184081,0.16400651411067,0.0463296683663356,0.0130209713043838,0.375652287596286,0.161491112698677,0.0489614575456261,0.0174932390879431
"S4","Df_silopt",0.236845723527511,0.224252964966483,0.0397965064570504,0.0118170792772445,0.243865871788108,0.224046308380799,0.0531222256874657,0.0158592394234742
"S4","DK_reconstruit",0.301307753298673,0.087806012381466,0.065903392192375,0.0094030891209045,0.295218758429813,0.0881291225588191,0.107125359310257,0.0142639224638222
"S4","Ds",0.246983902022134,0.0877762614306806,0.0459116679265273,0.0117395937162442,0.240319444635028,0.0867161682670427,0.0610194743020538,0.0166456198658245
