"scenario","delta1","delta2","seed","method","silhouette","ari","alpha","omega","r"
"S1",1,1,9,"Df_silopt",0.365255277998052,0.884180057036818,1,NA,NA
"S1",1,1,9,"Ds",0.135137024621782,0.571643765603817,NA,NA,NA
"S1",1,1,9,"A",0.162295602014484,0.755476500388743,NA,NA,NA
"S1",1,1,9,"B_silopt",0.365255277998052,0.884180057036818,1,1,NA
"S1",1,1,9,"C_DK_ancien",0.179939666480545,0.950635644814411,1,NA,NA
"S1",1,1,9,"DK_reconstruit",0.168389151332603,0.970251515925403,NA,NA,6.88207141188308
"S1",1,1,10,"D0",0.290838559110197,0.875507688570461,NA,NA,NA
"S1",1,1,10,"D1",0.344229171760081,0.88522377863302,NA,NA,NA
"S1",1,1,10,"Df_silopt",0.344229171760081,0.88522377863302,1,NA,NA
"S1",1,1,10,"Ds",0.143737869977525,0.540440844077175,NA,NA,NA
"S1",1,1,10,"A",0.156824603982506,0.792989790609098,NA,NA,NA
"S1",1,1,10,"B_silopt",0.344229171760081,0.88522377863302,1,1,NA
"S1",1,1,10,"C_DK_ancien",0.175231001488781,0.940707399698741,0.9,NA,NA
"S1",1,1,10,"DK_reconstruit",0.158916566328145,0.854683520113156,NA,NA,6.77809496294783
"S1",1,1,11,"D0",0.300302835167074,0.856551045220676,NA,NA,NA
"S1",1,1,11,"D1",0.350517170514878,0.82019610260744,NA,NA,NA
"S1",1,1,11,"Df_silopt",0.350517170514878,0.82019610260744,1,NA,NA
"S1",1,1,11,"Ds",0.136629943334982,0.659063397541951,NA,NA,NA
"S1",1,1,11,"A",0.162808523053537,0.771535011815872,NA,NA,NA
"S1",1,1,11,"B_silopt",0.350517170514878,0.82019610260744,1,1,NA
"S1",1,1,11,"C_DK_ancien",0.183207605082289,0.970150844236487,1,NA,NA
"S1",1,1,11,"DK_reconstruit",0.157505226913866,0.866751762924246,NA,NA,6.7291453353143
"S1",1,1,12,"D0",0.309235282413663,0.87350858686929,NA,NA,NA
"S1",1,1,12,"D1",0.368076443809786,0.883476482596931,NA,NA,NA
"S1",1,1,12,"Df_silopt",0.368076443809786,0.883476482596931,1,NA,NA
"S1",1,1,12,"Ds",0.147600198177103,0.684947949538232,NA,NA,NA
"S1",1,1,12,"A",0.162193241028352,0.824502782318329,NA,NA,NA
"S1",1,1,12,"B_silopt",0.368076443809786,0.883476482596931,1,1,NA
"S1",1,1,12,"C_DK_ancien",0.184974232132505,0.970050172547571,1,NA,NA
"S1",1,1,12,"DK_reconstruit",0.17031380129626,1,NA,NA,6.5186335769478
"S1",1,1,13,"D0",0.277373296315139,0.825121181660194,NA,NA,NA
"S1",1,1,13,"D1",0.341346421033774,0.875990155645903,NA,NA,NA
"S1",1,1,13,"Df_silopt",0.341346421033774,0.875990155645903,1,NA,NA
"S1",1,1,13,"Ds",0.137780570496774,0.638497437997489,NA,NA,NA
"S1",1,1,13,"A",0.156066246486145,0.877633562122934,NA,NA,NA
"S1",1,1,13,"B_silopt",0.341346421033774,0.875990155645903,1,1,NA
"S1",1,1,13,"C_DK_ancien",0.159965879567688,0.841144260798769,1,NA,NA
"S1",1,1,13,"DK_reconstruit",0.153085227502713,0.87530758383787,NA,NA,6.85481369527738
"S1",1,1,14,"D0",0.292188377422854,0.81946130335456,NA,NA,NA
"S1",1,1,14,"D1",0.351990452200641,0.901643594933378,NA,NA,NA
"S1",1,1,14,"Df_silopt",0.351990452200641,0.901643594933378,1,NA,NA
"S1",1,1,14,"Ds",0.136530058105213,0.478449051356512,NA,NA,NA
"S1",1,1,14,"A",0.155355099439535,0.857557351462552,NA,NA,NA
"S1",1,1,14,"B_silopt",0.351990452200641,0.901643594933378,1,1,NA
"S1",1,1,14,"C_DK_ancien",0.179417999197715,0.980068022309594,1,NA,NA
"S1",1,1,14,"DK_reconstruit",0.165445226058092,0.980068022309594,NA,NA,6.93081880058432
"S1",1,1,15,"D0",0.290707638893268,0.893874184417526,NA,NA,NA
"S1",1,1,15,"D1",0.355400279797933,0.921952991954283,NA,NA,NA
"S1",1,1,15,"Df_silopt",0.355400279797933,0.921952991954283,1,NA,NA
"S1",1,1,15,"Ds",0.142991284812832,0.677221300101408,NA,NA,NA
"S1",1,1,15,"A",0.168075065860756,0.6921608040201,NA,NA,NA
"S1",1,1,15,"B_silopt",0.355400279797933,0.921952991954283,1,1,NA
"S1",1,1,15,"C_DK_ancien",0.180563230332554,1,1,NA,NA
"S1",1,1,15,"DK_reconstruit",0.162652328914684,0.941177401133366,NA,NA,7.03455159412067
"S1",1,1,16,"D0",0.29010130085176,0.758711265483839,NA,NA,NA
"S1",1,1,16,"D1",0.344311380554161,0.876605900565265,NA,NA,NA
"S1",1,1,16,"Df_silopt",0.344311380554161,0.876605900565265,1,NA,NA
"S1",1,1,16,"Ds",0.136805004381184,0.474001599740696,NA,NA,NA
"S1",1,1,16,"A",0.163659062029415,0.827036194927829,NA,NA,NA
"S1",1,1,16,"B_silopt",0.344311380554161,0.876605900565265,1,1,NA
"S1",1,1,16,"C_DK_ancien",0.176954256529658,0.960136044619188,1,NA,NA
"S1",1,1,16,"DK_reconstruit",0.163099137609175,0.882163049903862,NA,NA,6.716060584881
"S1",1,1,17,"D0",0.282443985809631,0.787194843955295,NA,NA,NA
"S1",1,1,17,"D1",0.33712213864307,0.857169394381514,NA,NA,NA
"S1",1,1,17,"Df_silopt",0.33712213864307,0.857169394381514,1,NA,NA
"S1",1,1,17,"Ds",0.144712170181722,0.590540598732042,NA,NA,NA
"S1",1,1,17,"A",0.167508846091426,0.851899409721591,NA,NA,NA
"S1",1,1,17,"B_silopt",0.33712213864307,0.857169394381514,1,1,NA
"S1",1,1,17,"C_DK_ancien",0.170024834760543,0.913013695979442,1,NA,NA
"S1",1,1,17,"DK_reconstruit",0.143267497942317,0.68730691185115,NA,NA,6.85934354119384
"S1",1,1,18,"D0",0.284180391731838,0.810903416736096,NA,NA,NA
"S1",1,1,18,"D1",0.344503008571799,0.894075466191983,NA,NA,NA
"S1",1,1,18,"Df_silopt",0.344503008571799,0.894075466191983,1,NA,NA
"S1",1,1,18,"Ds",0.153344160934887,0.639262470731797,NA,NA,NA
"S1",1,1,18,"A",0.160182754751865,0.730050865355937,NA,NA,NA
"S1",1,1,18,"B_silopt",0.344503008571799,0.894075466191983,1,1,NA
"S1",1,1,18,"C_DK_ancien",0.168947139162422,0.903396825669128,1,NA,NA
"S1",1,1,18,"DK_reconstruit",0.153721495859826,0.806502139818935,NA,NA,6.8585449010355
"S1",1,1,19,"D0",0.286862395953688,0.813519171524581,NA,NA,NA
"S1",1,1,19,"D1",0.352126170800957,0.839128810679616,NA,NA,NA
"S1",1,1,19,"Df_silopt",0.352126170800957,0.839128810679616,1,NA,NA
"S1",1,1,19,"Ds",0.150701453286211,0.609380253955001,NA,NA,NA
"S1",1,1,19,"A",0.167138684074842,0.83509696969697,NA,NA,NA
"S1",1,1,19,"B_silopt",0.352126170800957,0.839128810679616,1,1,NA
"S1",1,1,19,"C_DK_ancien",0.183157475474239,0.980068022309594,1,NA,NA
"S1",1,1,19,"DK_reconstruit",0.16518199529724,0.970251515925403,NA,NA,7.10126878895362
"S1",1,1,20,"D0",0.283980166113656,0.866826166493868,NA,NA,NA
"S1",1,1,20,"D1",0.341088529085923,0.763137684802466,NA,NA,NA
"S1",1,1,20,"Df_silopt",0.341088529085923,0.763137684802466,1,NA,NA
"S1",1,1,20,"Ds",0.15073338230136,0.627028448069662,NA,NA,NA
"S1",1,1,20,"A",0.158636309873517,0.720787070792231,NA,NA,NA
"S1",1,1,20,"B_silopt",0.341088529085923,0.763137684802466,1,1,NA
"S1",1,1,20,"C_DK_ancien",0.167696249103451,0.875608288418081,1,NA,NA
"S1",1,1,20,"DK_reconstruit",0.14148621908165,0.639804878471837,NA,NA,6.91407523814568
"S1",1,1,21,"D0",0.3039148781019,0.87502884757656,NA,NA,NA
"S1",1,1,21,"D1",0.363600739099663,0.874613411455462,NA,NA,NA
"S1",1,1,21,"Df_silopt",0.363600739099663,0.874613411455462,1,NA,NA
"S1",1,1,21,"Ds",0.143872028713202,0.498062302989982,NA,NA,NA
"S1",1,1,21,"A",0.166382223050729,0.715899663299663,NA,NA,NA
"S1",1,1,21,"B_silopt",0.363600739099663,0.874613411455462,1,1,NA
"S1",1,1,21,"C_DK_ancien",0.177920252561949,0.940964084789045,1,NA,NA
"S1",1,1,21,"DK_reconstruit",0.156463037139459,0.830427432044642,NA,NA,6.84397581457033
"S1",1,1,22,"D0",0.274411063814576,0.747656788936656,NA,NA,NA
"S1",1,1,22,"D1",0.346859423432917,0.884698861101185,NA,NA,NA
"S1",1,1,22,"Df_silopt",0.346859423432917,0.884698861101185,1,NA,NA
"S1",1,1,22,"Ds",0.150413649634685,0.543412640844418,NA,NA,NA
"S1",1,1,22,"A",0.164353571632425,0.689075039296332,NA,NA,NA
"S1",1,1,22,"B_silopt",0.346859423432917,0.884698861101185,1,1,NA
"S1",1,1,22,"C_DK_ancien",0.175515689650992,0.89385614221662,1,NA,NA
"S1",1,1,22,"DK_reconstruit",0.154714620720239,0.849034538372071,NA,NA,7.02741968561036
"S1",1,1,23,"D0",0.31543402427031,0.873080353319805,NA,NA,NA
"S1",1,1,23,"D1",0.376679606832456,0.884623115577889,NA,NA,NA
"S1",1,1,23,"Df_silopt",0.376679606832456,0.884623115577889,1,NA,NA
"S1",1,1,23,"Ds",0.138240501488195,0.441054882347141,NA,NA,NA
"S1",1,1,23,"A",0.155632102044991,0.869003418109723,NA,NA,NA
"S1",1,1,23,"B_silopt",0.376679606832456,0.884623115577889,1,1,NA
"S1",1,1,23,"C_DK_ancien",0.181512271525327,0.941187397686506,1,NA,NA
"S1",1,1,23,"DK_reconstruit",0.171163208522395,0.980068022309594,NA,NA,6.73896422103911
"S1",1,1,24,"D0",0.293512111235223,0.894244416648713,NA,NA,NA
"S1",1,1,24,"D1",0.338905530686918,0.815605204084047,NA,NA,NA
"S1",1,1,24,"Df_silopt",0.338905530686918,0.815605204084047,1,NA,NA
"S1",1,1,24,"Ds",0.142945664265664,0.755012650011421,NA,NA,NA
"S1",1,1,24,"A",0.168948452928998,0.794045425867296,NA,NA,NA
"S1",1,1,24,"B_silopt",0.338905530686918,0.815605204084047,1,1,NA
"S1",1,1,24,"C_DK_ancien",0.181090727762108,0.960185700965085,1,NA,NA
"S1",1,1,24,"DK_reconstruit",0.164301470076648,0.950625573690135,NA,NA,6.85112321981495
"S1",1,1,25,"D0",0.287547324692991,0.813569094267855,NA,NA,NA
"S1",1,1,25,"D1",0.346913996413601,0.847452805622843,NA,NA,NA
