"method","ari","silhouette"
"A",0.561208357043156,0.134285237199486
"B_silopt",0.555449254839479,0.287479181339585
"C_DK_ancien",0.650790821495575,0.12560818351138
"D0",0.527570523302742,0.256156159180207
"D1",0.62560224775202,0.257344861222096
"Df_silopt",0.555069245423735,0.287468086650003
"DK_reconstruit",0.608099456808093,0.118419685805674
"Ds",0.414484253292678,0.115940336885219
