"scenario","seed","k_vrai","alpha","omega","k_opt","instability_min","stabk"
"S3",1,3,0.25,0.25,6,NA,"NA;0.105;0.0933;0.0958;0.0803;0.0769"
"S3",1,3,0.5,0.25,6,NA,"NA;0.0854;0.0898;0.0911;0.0851;0.0775"
"S3",1,3,0.75,0.25,5,NA,"NA;0.0927;0.091;0.0892;0.0797;0.0825"
"S3",1,3,1,0.25,5,NA,"NA;0.0884;0.0865;0.0846;0.08;0.0819"
"S3",1,3,0,0.5,6,NA,"NA;0.1043;0.1186;0.0999;0.0886;0.0764"
"S3",1,3,0.25,0.5,6,NA,"NA;0.1013;0.1059;0.0945;0.0832;0.0749"
"S3",1,3,0.5,0.5,6,NA,"NA;0.1036;0.0968;0.0952;0.0843;0.0787"
"S3",1,3,0.75,0.5,6,NA,"NA;0.0933;0.0989;0.0877;0.086;0.0839"
"S3",1,3,1,0.5,6,NA,"NA;0.0961;0.0983;0.09;0.0873;0.0822"
"S3",1,3,0,0.75,6,NA,"NA;0.1136;0.1011;0.0988;0.0911;0.0848"
"S3",1,3,0.25,0.75,6,NA,"NA;0.0879;0.106;0.105;0.0945;0.0814"
"S3",1,3,0.5,0.75,2,NA,"NA;0.0727;0.1035;0.1017;0.0917;0.0876"
"S3",1,3,0.75,0.75,2,NA,"NA;0.075;0.1058;0.1039;0.098;0.0892"
"S3",1,3,1,0.75,2,NA,"NA;0.0598;0.0993;0.0977;0.0946;0.0888"
"S3",1,3,0,1,6,NA,"NA;0.1341;0.0966;0.1008;0.0898;0.0815"
"S3",1,3,0.25,1,2,NA,"NA;0.0834;0.0992;0.0892;0.0882;0.0843"
"S3",1,3,0.5,1,2,NA,"NA;0.0745;0.1124;0.0985;0.0878;0.0877"
"S3",1,3,0.75,1,2,NA,"NA;0.0572;0.1158;0.1082;0.0958;0.0892"
"S3",1,3,1,1,2,NA,"NA;0.062;0.1161;0.1155;0.0932;0.0872"
"S4",1,3,0,0,6,NA,"NA;0.127;0.1523;0.1341;0.1294;0.116"
"S4",1,3,0.25,0,6,NA,"NA;0.1286;0.1516;0.1341;0.1268;0.1154"
"S4",1,3,0.5,0,6,NA,"NA;0.119;0.1438;0.1377;0.1284;0.1122"
"S4",1,3,0.75,0,6,NA,"NA;0.1267;0.147;0.1407;0.1226;0.114"
"S4",1,3,1,0,6,NA,"NA;0.1262;0.1473;0.1362;0.1281;0.1165"
"S4",1,3,0,0.25,6,NA,"NA;0.1178;0.1447;0.1282;0.1198;0.1083"
"S4",1,3,0.25,0.25,6,NA,"NA;0.1124;0.1345;0.1363;0.1117;0.108"
"S4",1,3,0.5,0.25,2,NA,"NA;0.0991;0.1366;0.1247;0.1176;0.1083"
"S4",1,3,0.75,0.25,2,NA,"NA;0.1011;0.1348;0.1224;0.1119;0.1102"
"S4",1,3,1,0.25,2,NA,"NA;0.0921;0.1389;0.1214;0.1107;0.1122"
"S4",1,3,0,0.5,6,NA,"NA;0.1391;0.1421;0.1199;0.1128;0.0972"
"S4",1,3,0.25,0.5,6,NA,"NA;0.1374;0.1292;0.1123;0.1042;0.0973"
"S4",1,3,0.5,0.5,6,NA,"NA;0.1168;0.129;0.116;0.1037;0.0989"
"S4",1,3,0.75,0.5,6,NA,"NA;0.1158;0.1315;0.1069;0.1037;0.1003"
"S4",1,3,1,0.5,6,NA,"NA;0.1033;0.1273;0.1105;0.1047;0.0972"
"S4",1,3,0,0.75,6,NA,"NA;0.1778;0.1125;0.1038;0.0996;0.0925"
"S4",1,3,0.25,0.75,6,NA,"NA;0.1258;0.1057;0.1101;0.104;0.0917"
"S4",1,3,0.5,0.75,2,NA,"NA;0.0937;0.1135;0.1075;0.0984;0.0959"
"S4",1,3,0.75,0.75,2,NA,"NA;0.0946;0.1135;0.1096;0.1027;0.0952"
"S4",1,3,1,0.75,2,NA,"NA;0.0684;0.1057;0.0999;0.0987;0.093"
"S4",1,3,0,1,6,NA,"NA;0.1341;0.0966;0.1008;0.0898;0.0815"
"S4",1,3,0.25,1,2,NA,"NA;0.0834;0.0992;0.0892;0.0882;0.0843"
"S4",1,3,0.5,1,2,NA,"NA;0.0745;0.1124;0.0985;0.0878;0.0877"
"S4",1,3,0.75,1,2,NA,"NA;0.0572;0.1158;0.1082;0.0958;0.0892"
"S4",1,3,1,1,2,NA,"NA;0.062;0.1161;0.1155;0.0932;0.0872"
